지점,지점명,일시,평균기온(°C),평균 상대습도(%)
108,서울,2022-06-21,26.5,72.6
108,서울,2022-06-22,25.9,71.1
108,서울,2022-06-23,24.3,89.1
108,서울,2022-06-24,22.6,90.9
108,서울,2022-06-25,26,80.4
108,서울,2022-06-26,26.5,82.1
108,서울,2022-06-27,26.8,84.4
108,서울,2022-06-28,26.9,81.9
108,서울,2022-06-29,25.1,95.5
108,서울,2022-06-30,22.3,99.3
108,서울,2022-07-01,26.6,83.3
108,서울,2022-07-02,28.8,72.8
108,서울,2022-07-03,29.3,68.6
108,서울,2022-07-04,29.3,71.8
108,서울,2022-07-05,29.2,73.8
108,서울,2022-07-06,29.5,76
108,서울,2022-07-07,28.2,82.3
108,서울,2022-07-08,25.8,84.4
108,서울,2022-07-09,26.9,82.1
108,서울,2022-07-10,29.2,68
108,서울,2022-07-11,27,75
108,서울,2022-07-12,26.8,73.1
108,서울,2022-07-13,25,93.9
108,서울,2022-07-14,25.7,84.6
108,서울,2022-07-15,26,76.5
108,서울,2022-07-16,24.8,83.4
108,서울,2022-07-17,25.5,78.9
108,서울,2022-07-18,26.8,76
108,서울,2022-07-19,27.4,74.1
108,서울,2022-07-20,27.1,76.1
108,서울,2022-07-21,23.2,87.6
108,서울,2022-07-22,25.1,81.5
108,서울,2022-07-23,24.8,83.6
108,서울,2022-07-24,25,86.9
108,서울,2022-07-25,27.5,75
108,서울,2022-07-26,28.9,72.5
108,서울,2022-07-27,29.3,66.3
108,서울,2022-07-28,29.7,63.8
108,서울,2022-07-29,30.7,68.1
108,서울,2022-07-30,30.9,68.4
108,서울,2022-07-31,27.2,85.8
108,서울,2022-08-01,28.6,82.4
108,서울,2022-08-02,26.8,90
108,서울,2022-08-03,27.1,90.1
108,서울,2022-08-04,28.9,79.3
108,서울,2022-08-05,29.4,76.6
108,서울,2022-08-06,28.7,85.3
108,서울,2022-08-07,28.9,82.1
108,서울,2022-08-08,26.8,91.6
108,서울,2022-08-09,25.1,96
108,서울,2022-08-10,24.7,85.3
108,서울,2022-08-11,25,87.9
108,서울,2022-08-12,27,73.8
108,서울,2022-08-13,25.8,82.8
108,서울,2022-08-14,27.6,83
108,서울,2022-08-15,28.1,83
108,서울,2022-08-16,26.7,75.4
108,서울,2022-08-17,26,76.6
108,서울,2022-08-18,25.6,75.8
108,서울,2022-08-19,26,86.1
108,서울,2022-08-20,28.2,80
108,서울,2022-08-21,28.1,75.3
108,서울,2022-08-22,26.8,75.6
108,서울,2022-08-23,25.4,75
108,서울,2022-08-24,24.8,66.9
108,서울,2022-08-25,22.2,78
108,서울,2022-08-26,23.8,75.3
108,서울,2022-08-27,21.5,63.1
108,서울,2022-08-28,22.6,59.4
108,서울,2022-08-29,21,74
108,서울,2022-08-30,19.1,96.3
108,서울,2022-08-31,21.7,83.3
108,서울,2022-09-01,24,70.8
108,서울,2022-09-02,24.7,61.8
108,서울,2022-09-03,24.2,63
108,서울,2022-09-04,22.3,88.6
108,서울,2022-09-05,19.2,95.9
108,서울,2022-09-06,21,78
108,서울,2022-09-07,22.8,65.3
108,서울,2022-09-08,23.2,65.5
112,인천,2022-06-21,23.2,81
112,인천,2022-06-22,22.9,81.4
112,인천,2022-06-23,22.3,92.4
112,인천,2022-06-24,20.8,94.9
112,인천,2022-06-25,23.7,87.3
112,인천,2022-06-26,25.1,85.6
112,인천,2022-06-27,25.8,83.8
112,인천,2022-06-28,25.1,85.9
112,인천,2022-06-29,23.7,95.8
112,인천,2022-06-30,22.6,97
112,인천,2022-07-01,25.6,86
112,인천,2022-07-02,26.5,80.8
112,인천,2022-07-03,27.1,72.6
112,인천,2022-07-04,27.3,71.4
112,인천,2022-07-05,27.3,74.8
112,인천,2022-07-06,29,72.5
112,인천,2022-07-07,27.6,78.5
112,인천,2022-07-08,24.4,88.6
112,인천,2022-07-09,25.3,82.8
112,인천,2022-07-10,26.7,75.1
112,인천,2022-07-11,26.7,69.9
112,인천,2022-07-12,26.7,72.1
112,인천,2022-07-13,24.4,93.4
112,인천,2022-07-14,24,87.9
112,인천,2022-07-15,24.3,84.6
112,인천,2022-07-16,24.4,83.6
112,인천,2022-07-17,24.6,83.8
112,인천,2022-07-18,25.9,78.8
112,인천,2022-07-19,25.8,81.1
112,인천,2022-07-20,25.8,80.4
112,인천,2022-07-21,23.2,83.8
112,인천,2022-07-22,24.8,82.6
112,인천,2022-07-23,24.2,84.5
112,인천,2022-07-24,24.5,87.8
112,인천,2022-07-25,25.8,79
112,인천,2022-07-26,27.5,74.6
112,인천,2022-07-27,27.8,72.6
112,인천,2022-07-28,28.4,64.5
112,인천,2022-07-29,29.3,71
112,인천,2022-07-30,31.1,61.8
112,인천,2022-07-31,27.2,82.4
112,인천,2022-08-01,27.7,85
112,인천,2022-08-02,25.5,95.8
112,인천,2022-08-03,26.3,94.6
112,인천,2022-08-04,27.3,88.1
112,인천,2022-08-05,27.8,87
112,인천,2022-08-06,27.7,88.4
112,인천,2022-08-07,28.1,85.6
112,인천,2022-08-08,26.2,93
112,인천,2022-08-09,24.2,97.4
112,인천,2022-08-10,22.7,90.6
112,인천,2022-08-11,23.5,90.8
112,인천,2022-08-12,25.1,81.8
112,인천,2022-08-13,24.6,86.3
112,인천,2022-08-14,26.8,86.3
112,인천,2022-08-15,27.2,86.8
112,인천,2022-08-16,25,79.9
112,인천,2022-08-17,25.2,77
112,인천,2022-08-18,25,76.5
112,인천,2022-08-19,25.7,86.4
112,인천,2022-08-20,26.7,82.1
112,인천,2022-08-21,27,78.9
112,인천,2022-08-22,26.2,78
112,인천,2022-08-23,24.4,72.3
112,인천,2022-08-24,24.5,65.9
112,인천,2022-08-25,22.4,74.1
112,인천,2022-08-26,23.7,74.5
112,인천,2022-08-27,21.4,55.3
112,인천,2022-08-28,22.4,57.8
112,인천,2022-08-29,20.8,70.3
112,인천,2022-08-30,19,92.8
112,인천,2022-08-31,21.5,81.8
112,인천,2022-09-01,23.9,71.9
112,인천,2022-09-02,25.1,57.6
112,인천,2022-09-03,24.5,57.3
112,인천,2022-09-04,22.9,82.5
112,인천,2022-09-05,18.5,92.8
112,인천,2022-09-06,20.9,77.9
112,인천,2022-09-07,22.6,65.4
112,인천,2022-09-08,22.4,72.6
133,대전,2022-06-21,28.1,61.8
133,대전,2022-06-22,27.5,61
133,대전,2022-06-23,25.1,83.3
133,대전,2022-06-24,25,77.8
133,대전,2022-06-25,27.8,68.1
133,대전,2022-06-26,27.4,72.8
133,대전,2022-06-27,28,71.8
133,대전,2022-06-28,29.4,60.1
133,대전,2022-06-29,26.7,79.3
133,대전,2022-06-30,27.2,78.5
133,대전,2022-07-01,28.6,69
133,대전,2022-07-02,29.6,65.9
133,대전,2022-07-03,28.1,73.1
133,대전,2022-07-04,27.6,76.5
133,대전,2022-07-05,28.2,77.3
133,대전,2022-07-06,30.1,69.3
133,대전,2022-07-07,29.5,67.6
133,대전,2022-07-08,27.6,74.6
133,대전,2022-07-09,26.5,75.6
133,대전,2022-07-10,28.7,71.6
133,대전,2022-07-11,25.1,87.9
133,대전,2022-07-12,27,78.1
133,대전,2022-07-13,24.8,85.1
133,대전,2022-07-14,26,81.3
133,대전,2022-07-15,26.1,70.1
133,대전,2022-07-16,26.2,68.9
133,대전,2022-07-17,26,71.1
133,대전,2022-07-18,22.3,91.6
133,대전,2022-07-19,25,81.3
133,대전,2022-07-20,27.6,70.4
133,대전,2022-07-21,23.8,86.1
133,대전,2022-07-22,25.7,69.8
133,대전,2022-07-23,24.8,77.6
133,대전,2022-07-24,24.7,86.9
133,대전,2022-07-25,27.2,73.9
133,대전,2022-07-26,28.4,71.1
133,대전,2022-07-27,27.6,65.9
133,대전,2022-07-28,28.2,69.3
133,대전,2022-07-29,30.3,65.3
133,대전,2022-07-30,28.8,67.8
133,대전,2022-07-31,25.9,87.6
133,대전,2022-08-01,27.6,82
133,대전,2022-08-02,27.9,78.9
133,대전,2022-08-03,29.3,72.8
133,대전,2022-08-04,29.2,74.5
133,대전,2022-08-05,28.7,78.1
133,대전,2022-08-06,29.9,71.8
133,대전,2022-08-07,29.9,74
133,대전,2022-08-08,28.6,71.4
133,대전,2022-08-09,28,74.5
133,대전,2022-08-10,25.3,92.3
133,대전,2022-08-11,24.4,93.6
133,대전,2022-08-12,27.3,78.1
133,대전,2022-08-13,26,84.9
133,대전,2022-08-14,26.7,86.5
133,대전,2022-08-15,28.1,74.8
133,대전,2022-08-16,25.8,84.3
133,대전,2022-08-17,25.6,82.3
133,대전,2022-08-18,25.1,75.8
