번호,시설명,주소
1,공립알록달록지역아동센터,전라남도 영광군 염산면 칠산로2길 3
2,살구나무지역아동센터,전라남도 무안군 무안읍 공항로 75-9 (무안성내휴먼시아)
3,대평공립지역아동센터,"세종특별자치시  대평1길 10 (대평동, 대평동복합커뮤니티센터 2층)"
4,도담그룹홈,"광주광역시 서구 운천로 61, 104동 104호 (금호동, 금호동 우미아파트)"
5,무지개지역아동센터,"경상남도 합천군 합천읍 중앙로2길 10, 202호 (성우아파트)"
6,무지개다문화 지역아동센터,경기도 성남시 수정구 제일로138번길 15 (수진동)
7,강서누리지역아동센터,"서울특별시 강서구 송정로 32, 2층 (공항동)"
8,선한꿈 지역아동센터,"경기도 파주시 금정2길 31, 1층 (금촌동)"
9,계명지역아동센터,"대구광역시 달서구 서당로7길 6 (신당동, 3층)"
10,오아시스그룹홈,"광주광역시 북구 동운로 141, 101동 106호 (동림동, 삼라마이다스)"
11,비슬지역아동센터,"대구광역시 달성군 유가면 테크노중앙대로6길 2-12, 3층층"
12,새빛지역아동센터,"경상북도 구미시 고아읍 문장로26길 11, 104동 106호 (대우아파트)"
13,효성사랑지역아동센터,인천광역시 계양구 안남로573번길 16 (효성동)
14,밝은빛지역아동센터,경기도 광명시 도덕로 22 (광명동)
15,꿈꾸는지역아동센터,"서울특별시 송파구 동남로 280, 4층 (오금동, 성진빌딩)"
16,세천지역아동센터,"대구광역시 달성군 다사읍 세천북로7길 14-5, 205호 (해피리버아파트)"
17,열린그룹홈,"부산광역시 강서구 신호산단3로 55, 103동 304호 (신호동, 부산신호윌더하임아파트)"
18,금구지역아동센터,전라북도 김제시 금구면 봉두로 85
19,청보리지역아동센터,대구광역시 북구 관음동로 95 (관음동)
20,밀알그룹홈,"서울특별시 구로구 고척로21다길 28-1 (개봉동, 밀알그룹홈)"
21,진량지역아동센터,경상북도 경산시 진량읍 공단1로 37
22,행복한 우리집,"부산광역시 중구 중앙공원로 107, 303호 (영주동, 로얄플러스빌라)"
23,동가지역아동센터,광주광역시 남구 용대로 176-1 (방림동)
24,푸르나지역아동센터,강원도 화천군 사내면 포화로 1157
25,매산 지역아동센터,경기도 수원시 팔달구 효원로60번길 6-15 (매산로3가)
26,도담지역아동센터,"경상남도 진주시 장대로 77, 1층 (수정동)"
27,초록나무학교,서울특별시 양천구 오목로38길 29 (신정동)
28,내남지역아동센터,"경상북도 경주시 내남면 이조중앙길 38-27, 2층"
29,아름다운꿈지역아동센터,"서울특별시 송파구 마천로 305, 3층 (마천동)"
30,한마음지역아동센터,서울특별시 동대문구 왕산로45길 31 (청량리동)
31,솔로몬지역아동센터,"전라북도 전주시 덕진구 진북로 6, 3층 (진북동)"
32,LH행복꿈터 물푸레지역아동센터,"경기도 용인시 기흥구 구성로 392, 1층 (청덕동, 휴먼시아 물푸레마을 주민공동시설1)"
33,목양비젼지역아동센터,"경상남도 김해시 진영읍 진영산복로 201, 2층"
34,현서키즈지역아동센터,경상북도 청송군 현서면 구덕길 6-11
35,비젼지역아동센터,광주광역시 남구 봉선로51번길 9 (주월동)
36,지역아동센터예닮,"부산광역시 금정구 서부로16번길 23-4, 3층 (서동)"
37,동그라미 지역아동센터,광주광역시 서구 쌍촌로15번길 7 (쌍촌동)
38,글로벌영재지역아동센터,"부산광역시 북구 금곡대로550번길 30, 202호 (금곡동)"
39,행복나무지역아동센터,"대구광역시 북구 구암서로 7, 302동 1층 105호 (구암동, 부영3단지 아파트)"
40,천안시동남구공립지역아동센터,"충청남도 천안시 동남구 대흥로 19, 2층 (구성동)"
41,노을빛 지역아동센터,경기도 수원시 팔달구 팔달문로41번길 24 (지동)
42,한솔 지역아동센터,"경기도 성남시 분당구 내정로 94, 지하층 (정자동, 한솔종합사회복지관 별관)"
43,솔바람지역아동센터,"서울특별시 송파구 성내천로 271, 3층층 (마천동)"
44,덕진지역아동센터,"전라북도 전주시 덕진구 들사평서로 16, 3층층 (덕진동1가)"
45,안수인 지역아동센터,"서울특별시 금천구 시흥대로26길 9, 2층층 (시흥동)"
46,예드림지역아동센터,"경기도 의왕시 동부시장3길 2 (내손동, 1층)"
47,대실지역아동센터,대구광역시 달성군 다사읍 대실역남로1길 26
48,어깨동무지역아동센터,"대구광역시 서구 통학로15길 23, 2층 (평리동)"
49,젬마지역아동센터,"서울특별시 동작구 강남초등8길 20, 2층 (상도1동)"
50,명정지역아동센터,부산광역시 해운대구 윗반송로51번길 60-24 (반송동)
51,구립초안산숲속지역아동센터,서울특별시 노원구 월계동 905번지 12호
52,길배움터지역아동센터,강원도 원주시 판부면 용수골길 94-9
53,영웅지역아동센터,전라남도 광양시 광양읍 서평5길 9
54,LH행복꿈터 새빛지역아동센터,전라남도 여수시 소라면 덕양로 97-7 (죽림휴먼시아1차)
55,반짝이는 지역아동센터,"충청북도 청주시 청원구 율봉로 203, 2층 (율량동)"
56,참좋은 지역아동센터,"경기도 수원시 권선구 금호로200번길 9-15, 1층 (탑동)"
57,완월지역아동센터,"경상남도 창원시 마산합포구 완월남로 10, 3층 (완월동)"
58,도담지역아동센터,"대구광역시 달서구 용산로 57-1, 2층 (장기동)"
59,군왕로지역아동센터,"광주광역시 북구 군왕로 119, 304호 (두암동, 청아아파트)"
60,보령아람지역아동센터,"충청남도 보령시 한내로터리길 92 (동대동, 휴먼시아3단지주공아파트)"
61,파란지역아동센터,경상북도 포항시 남구 오천읍 원동로 3 (메트로프라자 206호(문덕리))
62,하공이,경기도 남양주시 화도읍 비룡로55번길 3-44
63,서울특별시 꿈나무마을 파란꿈터,서울특별시 은평구 백련산로14길 20-11 (응암동)
64,새생명 지역아동센터,"인천광역시 연수구 먼우금로 282, 상가동 3층 302호 (연수동)"
65,구립공릉지역아동센터,"서울특별시 노원구 섬밭로 156 (공릉동, 공릉종합사회복지관)"
66,이삭나래 홈,부산광역시 남구 양지골로251번길 50 (감만동)
67,엘림그룹홈,"경기도 수원시 권선구 동수원로145번길 24, 205동 102호 (권선동, 수원아이파크시티2단지)"
68,원네스지역아동센터,충청남도 천안시 서북구 업성3길 31-16 (업성동)
69,보람지역아동센터,"경기도 부천시 부흥로 133 (중동, 아주상가 202호)"
70,화목한지역아동센터,"충청남도 서산시 인지면 둔당로 105-9, 2층 202호 (서산청구제네스 제상가동 )"
71,복현지역아동센터,"대구광역시 북구 동북로61길 8, 2층 (복현동)"
72,해피아이지역아동센터,인천광역시 남동구 만수서로37번길 32 (만수동)
73,성남지역아동센터,"대구광역시 달서구 두류남길 88, 2층 (두류동)"
74,해나래,"전라북도 군산시 백토로 230, 103동 503호 (나운동, 우성아파트)"
75,늘사랑청소년센터,대구광역시 수성구 국채보상로 906 (범어동)
76,스마일,"충청북도 청주시 상당구 중고개로 337, 13동 1층 108호 (금천동, 현대아파트)"
77,대구제일지역아동센터,"대구광역시 달서구 학산로7길 84, 3층 (본동)"
78,봉명꿈지역아동센터,대전광역시 유성구 유성대로654번길 195 (봉명동)
79,녹색지역아동센터,"서울특별시 중랑구 겸재로 78, 3층 (면목동)"
80,영웅,"전라남도 광양시 광양읍 서평9길 8, 1,2층"
81,어울림지역아동센터,전라북도 전주시 완산구 서곡2길 10-8 (효자동3가)
82,윤슬청소년 지역아동센터,경기도 수원시 팔달구 팔달로 157 (화서동)
83,구세군엔젤트리지역아동센터,"경기도 군포시 당동로12번길 5-4, 2층 (당동)"
84,LH행복꿈터 용연지역아동센터,"충청남도 아산시 배방읍 용연로 36, 103동 1층 (용연휴먼시아1단지 )"
85,장평지역아동센터,전라남도 장흥군 장평면 장평중앙길 73
86,무럭무럭지역아동센터,"경기도 용인시 수지구 진산로11번길 6, 2층층 (풍덕천동, 다목적복지회관)"
87,(시립)도담 양지동 지역아동센터,"경기도 성남시 수정구 산성대로 483, 5층 (양지동)"
88,한빛지역아동센터,"서울특별시 성북구 동소문로34길 24, 304305호 (돈암동, 삼성아파트 제비상가)"
89,황금지역아동센터,대구광역시 수성구 청수로40길 90 (지산동)
90,철암지역아동센터,강원도 태백시 동태백로 346 (동점동)
91,구로구공립지역아동센터,"서울특별시 구로구 천왕로 32, 306호307호 (천왕동, 천왕에이스프라자)"
92,좋은공부방지역아동센터,"경기도 남양주시 화도읍 맷돌로 110-13, 4동 (신명프라자)"
93,미래나무지역아동센터,충청남도 서산시 대산읍 대산원두골길 98
94,놀이터지역아동센터,서울특별시 중랑구 동일로 880 (묵동)
95,요나지역아동센터,"대구광역시 북구 대동로 38, 2층 (산격동)"
96,대전 민들레쉼터,"대전광역시 유성구 엑스포로 448, 403동 104호 (전민동, 엑스포아파트)"
97,구립상계숲속지역아동센터,서울특별시 노원구 상계동 620번지
98,경화지역아동센터,"경상남도 창원시 진해구 경화시장로 62, 2층 (경화동, 대경빌딩)"
99,해오름지역아동센터,"서울특별시 송파구 백제고분로40길 23, 2층 (석촌동)"
100,화정지역아동센터,"광주광역시 서구 월드컵4강로28번길 46, 301동 106호 (화정동, 한양아파트)"
101,구립하계지역아동센터,"서울특별시 노원구 노원로16길 60 (하계동, 중계9단지주공영구임대아파트)"
102,구서지역아동센터,"부산광역시 금정구 금강로578번길 24, 3층 (구서동)"
103,일산별사랑,"경기도 고양시 일산동구 일산로372번길 58-29, 2층 (정발산동)"
104,달서지역아동센터,"대구광역시 달서구 학산로 176, 2층 (송현동)"
105,다락방(多樂房),"충청북도 진천군 진천읍 문화4길 5-3, c동 1층 101호 (일륭주택)"
106,로뎀지역아동센터,"대구광역시 북구 서변로 129, 2층 (서변동)"
107,오륙도행복꿈터,"부산광역시 남구 용호로269번길 90, 1동 108호 (용호동, 벽산아파트)"
108,다온지역아동센터,경상남도 통영시 멘데1길 25 (정량동)
109,경기고양아동보호전문기관,"경기도 고양시 덕양구 중앙로557번길 11 (행신동, 삼정프라자 7층)"
110,살레시오광명나눔의집,"경기도 광명시 목감로 88, 102동 202호 (광명동)"
111,연우지역아동센터,대구광역시 달성군 구지면 창리로11길 58
112,신정지역아동센터,경기도 평택시 팽성읍 계양로 336
113,하늘나는물고기 지역아동센터,"경상남도 김해시 우암로 32 (외동, 송재빌딩 301호)"
114,금빛나래 지역아동센터,광주광역시 서구 독립로185번길 7 (양동)
115,적중지역아동센터,경상남도 합천군 적중면 중부1길 17
116,디딤돌지역아동센터,경상남도 통영시 망일2길 12 (정량동)
117,푸른꿈지역아동센터,대구광역시 서구 통학로 191-1 (평리동)
118,사랑샘지역아동센터,부산광역시 기장군 정관읍 정관로 580 (정관사랑샘프라자 307호)
119,명곡지역아동센터,"대구광역시 달성군 화원읍 명천로 236, 3층"
120,도담지역아동센터,전라북도 정읍시 이평면 말목장터로 500
121,주이레 지역아동센터,"경기도 수원시 권선구 매실로 25-5, 2층 (호매실동)"
122,동상지역아동센터,경상남도 김해시 분성로365번길 10 (동상동)
123,청담지역아동센터,인천광역시 연수구 용담로 54 (청학동)
124,꿈터지역아동센터,"대전광역시 유성구 학하서로35번길 32, 1층층 (계산동)"
125,샬롬지역아동센터,경기도 광주시 중앙로346번길 14 (송정동)
126,구립공릉행복지역아동센터,"서울특별시 노원구 동일로179길 22, 3층 (공릉동, 공릉행복발전소)"
127,숲과나무지역아동센터,"서울특별시 강동구 올림픽로98길 25, 3층층 (암사동)"
128,명보지역아동센터,대구광역시 서구 평리로50길 5 (내당동)
129,LH행복꿈터 삼송지역아동센터,"경기도 고양시 덕양구 오금2로 26 (신원동, 신원마을 2단지 주민복지관 2층)"
130,해피스쿨지역아동센터,"경상북도 경산시 경산로16길 2-7, 1층 (옥곡동)"
131,드림스쿨지역아동센터,"광주광역시 동구 남문로 620, 2층 (소태동)"
132,와락(학대피해아동쉼터),충청북도 제천시 용두천로28다길 6 (장락동)
133,그루터기,경기도 광주시 오포읍 양벌리 
134,LH행복꿈터파주 지역아동센터,"경기도 파주시 와석순환로 380, 602동 (목동동)"
135,관저지역아동센터,"대전광역시 서구 관저중로95번길 90, 4층 (관저동)"
136,장대지역아동센터,"대전광역시 유성구 유성대로 798-1, 401호 (장대동)"
137,거류지역아동센터,경상남도 고성군 거류면 거류로 651
138,화도마리지역아동센터,인천광역시 강화군 화도면 가능포로 37-12
139,드림지역아동센터,"서울특별시 양천구 남부순환로61길 13, 201호 (신월동)"
140,성북아동보호전문기관,"서울특별시 성북구 동소문로3길 36 (동소문동1가, 타운힐빌딩)"
141,도토리지역아동센터,"전라북도 전주시 완산구 거마평로 147-11, 상가1동동 2층층 2호호 (효자동1가, 삼성효자맨션)"
142,제주가정위탁지원센터,"제주특별자치도 제주시 연삼로 22, 3층 (연동)"
143,비전교실지역아동센터,"서울특별시 관악구 관악로30길 40, 우성A 제2상가동 3층층 (봉천동)"
144,참길지역아동센터,경상북도 예천군 예천읍 효자로 119-1
145,섬강,강원도 횡성군 우천면 전재로 33
146,천안사랑 지역아동센터,"충청남도 천안시 서북구 성거읍 천흥4길 72-7, 1동 1층 (천안사랑비전센터)"
147,서울특별시 꿈나무마을 연두꿈터,서울특별시 은평구 백련산로14길 20-11 (응암동)
148,푸른솔지역아동센터,"서울특별시 송파구 풍성로 6, 2층 (풍납동)"
149,천양원,대전광역시 유성구 현충원로 473 (장대동)
150,열방지역아동센터,"경상남도 함안군 칠서면 함의로 26 (201호, 202호,206호,207호)"
151,기쁨지역아동센터,"충청남도 천안시 서북구 천일고1길 43-8 (신당동, 1층)"
152,하늘품 공동생활가정,"서울특별시 마포구 월드컵북로 501, 916동 802호 (상암동, 상암월드컵파크9단지)"
153,더사랑지역아동센터,전라남도 여수시 소호4길 5-12 (소호동)
154,희망의집 지역아동센터,서울특별시 강북구 삼양로 280-1 (미아동)
155,동강지역아동센터,전라남도 고흥군 동강면 원유둔2길 13
